abv_max,abv_min,abw_max,abw_min,category,description,ebc_max,ebc_min,fg_max,fg_min,fg_plato_max,fg_plato_min,ibu_max,ibu_min,id,name,og_max,og_min,og_plato_max,og_plato_min,origin,srm_max,srm_min,year
0,0,0,0,Ale,"American-style sour ales can be very light to black or take on the color of added fruits or other ingredients. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American-style sour ale may have full range of hop aroma and hop bitterness intensities. It may have a full range of body. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. The acidity present is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids
previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-style sour ales will exhibit fruit flavors in harmonious balance with other characters.",0,0,0,0,0,0,0,0,40,"American-Style Sour Ale",0,0,0,0,"North American",0,0,2013
7.5,6,6,5,Ale,"American-style black ales are very dark to black. The perception of caramel malt and dark roasted malt flavor and aroma is at a medium level. High astringency and high degree of burnt roast malt character should be absent. Hop bitterness is perceived to be medium-high to high. Hop flavor and aroma is medium-high. Fruity, floral and herbal character from hops of all origins may contribute character. American-style black ale has medium body.",70,70,1.018,1.012,4.5,3,70,50,41,"American-Style Black Ale",1.075,1.056,18.2,14,"North American",35,35,2013
8.8,5.7,7,4.5,Ale,"American-style stout is black. Malt sweetness is low to medium with a low to medium level of caramel, chocolate and/or roasted coffee flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent, but their contribution to astringency is low and not excessive. Some slight roasted malt acidity is permissible. Hop bitterness may be medium to high. Hop aroma and flavor is medium to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. These beers have a medium- to full-bodied mouthfeel. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",80,80,1.022,1.01,5.5,2.5,60,35,42,"American-Style Stout",1.075,1.05,18.2,12.4,"North American",40,40,2013
12,7,9.5,5.5,Ale,"American-style imperial stouts are black in color. They typically have an extremely rich malty flavor and aroma with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop bitterness should be medium-high to very high and balanced with the malt personality. Hop aroma and flavor is usually medium-high to high floral, citrus and/or herbal. Fruity- ester characteristics are generally high. Diacetyl (butterscotch) levels should be absent.",80,80,1.03,1.02,7.5,4,80,50,43,"American-Style Imperial Stout",1.1,1.08,23,19.5,"North American",40,40,2013
12,7,9.5,5.5,Ale,"American-style imperial porters are black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness. Hop bitterness is perceived at a medium-low to medium level. Hop flavor and aroma may vary from being low to medium-high. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment hop character and malt derived sweetness. Diacetyl (butterscotch) levels should be absent.",80,80,1.03,1.02,7.5,4,50,35,44,"American-Style Imperial Porter",1.1,1.08,23,19.5,"North American",40,40,2013
5.3,4.8,4.2,3.8,Ale,"German-style Ko?lsch is characterized by a straw to gold color. Chill haze should be absent. Good, dense head retention is desirable. Wheat can be used in brewing this beer. Malt character is a very low to low soft sweetness. Caramel character should not be evident. This beer has low hop flavor and aroma with medium bitterness. Ko?lsch is fermented at warmer temperatures compared to typical lager temperatures but at lower temperatures than most English and Belgian ales, then aged at cold temperatures (German ale or alt-style beer). Fruity esters should be minimally perceived, if at all. Light pear-apple-Riesling wine-like fruitiness may be apparent, but is not necessary for this style. It is slightly dry on the palate, yet crisp. The body is light to medium-light. Ale yeast is used for fermentation, though lager yeast is sometimes used in the bottle or final cold conditioning process.",12,6,1.01,1.006,2.5,1.5,25,18,45,"German-Style Ko?lsch/Ko?ln-StyleKo?lsch",1.048,1.042,12,10.5,German,6,3,2013
3.4,2.8,2.7,2.2,Ale,"Berliner-style Weisse is straw to pale in color and the lightest of all the German wheat beers. Malt sweetness is absent. Hop bitterness is none to very low. Hop flavor and aroma is absent. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic and highly attenuated. It has a very light body. The carbonation of a Berliner Weisse is high. Clarity may be hazy or cloudy from yeast or chill haze. Fruity esters will be evident. No diacetyl should be perceived.",8,4,1.006,1.004,1.5,1,6,3,46,"Berliner-Style Weisse (Wheat)",1.032,1.028,8,7,German,4,2,2013
5.4,4.4,4.3,3.5,Ale,"Leipzig-style Gose is typically straw to medium amber in color It typically contains malted barley, unmalted wheat with some traditional varieties containing oats. Malt sweetness is very low to none at all. Hop bitterness, flavor and aroma are absent. Traditional examples of Gose are spontaneously fermented, similarly to Belgian-style gueuze/lambic beers, and should exhibit complexity of acidic, flavor and aroma contributed by introduction of wild yeast and bacteria into the fermentation. A primary difference between Belgian Gueuze and German Gose is that Gose is served at a much younger age. Lemony or other citrus-like qualities are often present in aroma and on the palate. Some versions may have the spicy character of added coriander in aroma and on the palate at low to medium levels. Salt (table salt) character is also traditional in low amounts. Horsey, leathery, earthy aroma and flavors contributed by Brettanomyces yeasts may be evident but have a very low profile, as this beer is not excessively aged. Modern German Gose breweries typically introduce only pure beer yeast strains for fermentation. Low to medium lactic acid character is evident in all examples as sharp, refreshing sourness. Gose is typically enjoyed fresh, carbonated, and cloudy/hazy with yeast character, and may have evidence of continued fermentation activity. Overall complexity of flavors and aromas are sought while maintaining an ideal balance between acidity, yeast-enhanced spice and refreshment is ideal.",18,6,1.012,1.008,3,2,15,10,47,"Leipzig-Style Gose",1.056,1.036,13.8,9,German,9,3,2013
5.5,4.9,4.4,3.9,Ale,"South German-style Hefeweizen is straw to amber in color. These beers are made with at least 50 percent malted wheat. Malt sweetness is very low to medium-low. Hop bitterness is very low. Hop flavor and aroma are absent or present at very low levels. The aroma and flavor of a Weissbier with yeast is decidedly fruity and phenolic. The phenolic characteristics are often described as clove-, nutmeg-like, mildly smoke-like or even vanilla-like. Banana-like esters should be present at low to medium-high levels. Weissbier is well attenuated and very highly carbonated. Itis a medium- to full-bodied beer. Because yeast is present, the beer will have yeast flavor and a characteristically fuller mouthfeel and may be appropriately very cloudy. No diacetyl should be perceived.",18,6,1.016,1.008,4,2,15,10,48,"South German-Style Hefeweizen/Hefeweissbier",1.056,1.047,14,11.8,German,9,3,2013
5.5,4.9,4.4,3.9,Ale,"South German-style Kristal Weizen is straw to amber in color. These beers are made with at least 50 percent malted wheat. Malt sweetness is very low to medium-low. Hop bitterness is very low. Hop flavor and aroma are absent or present at very low levels. The aroma and flavor of a Weissbier without yeast is very similar to Weissbier with yeast (Hefeweizen/Hefeweissbier) with the caveat that fruity and phenolic characters are not combined with the yeasty flavor and fuller-bodied mouthfeel of yeast. The phenolic characteristics are often described as clove- or nutmeg- like and can be smoky or even vanilla-like. Banana-like esters are often present. Weissbier is well attenuated and very highly carbonated. It is a medium- to full-bodied beer. Because the beer has been filtered, yeast is not present. The beer will have no flavor of yeast and a cleaner, drier mouthfeel. The beer should be clear with no chill haze present. No diacetyl should be perceived.",18,6,1.016,1.008,4,2,15,10,49,"South German-Style Kristal Weizen/Kristal Weissbier",1.056,1.047,14,11.8,German,9,3,2013
3.5,2.5,2.8,2,Ale,"The beer may have a broad range of color from straw to copper- amber. Malt sweetness is very low to medium-low. Hop bitterness is very low. Hop flavor and aroma are absent or present at very low levels. The German word leicht means light, and as such these beers are light versions of Hefeweizen. Leicht Weissbier is top fermented and cloudy like Hefeweizen. The phenolic and estery aromas and flavors typical of Weissbiers are more subdued in Leichtes Weizen. The overall flavor profile is less complex than Hefeweizen due to decreased alcohol content. There is less yeasty flavor present. Leichtes Weissbier has diminished mouth feel relative to Hefeweizen, and is a low-bodied beer. No diacetyl should be perceived.",30,7,1.008,1.004,2,1,15,10,50,"German-Style Leichtes Weizen/Weissbier",1.044,1.028,11,7,German,15,4,2013
5.4,4.8,4.3,3.8,Ale,"The German word Bernsteinfarben means amber colored, and as such, a Bernsteinfarbenes Weizen is amber to light brown in color. The percentage of wheat malt is at least 50 percent. This beer style is characterized by a distinct sweet maltiness and caramel or bready character from the use of medium colored malts. Hop bitterness is low. Hop flavor and aroma are absent. Estery and phenolic elements of this Weissbier should be evident but subdued. Bernsteinfarbenes Weissbier is well attenuated and very highly carbonated, and if this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",26,18,1.016,1.008,4,2,15,10,51,"South German-Style Bernsteinfarbenes Weizen/Weissbier",1.056,1.048,14,12,German,13,9,2013
5.4,4.8,4.3,3.8,Ale,"South German-style Dunkel Weizen can range from copper- brown to dark brown in color. This beer style is characterized by a distinct sweet maltiness and a chocolate-like character from roasted malt. Usually dark barley malts are used in conjunction with dark cara or color malts, and the percentage of wheat malt is at least 50 percent. Hop bitterness is low. Hop flavor and aroma are absent. Estery and phenolic elements of dunkel Weissbier should be evident but subdued. Dunkel Weissbier is well attenuated and very highly carbonated. If this is served with yeast, the beer may be appropriately very cloudy. No diacetyl should be perceived.",38,20,1.016,1.008,4,2,15,10,52,"South German-Style Dunkel Weizen/Dunkel Weissbier",1.056,1.048,14,12,German,19,10,2013
9.3,6.9,7.5,5.5,Ale,"This style is gold to very dark in color. The malty sweetness is at a medium level. If dark, a mild roast malt character should emerge in flavor and to a lesser degree in the aroma. As is true with all German wheat beers, hop bitterness is low. Hop flavor and aroma are absent. Weizenbock is balanced with a clove-like phenolic and fruity-estery banana element to produce a well- rounded aroma and flavor. Carbonation is high and it has a medium to full body. If this is served with yeast the beer may be appropriately very cloudy. No diacetyl should be perceived.",60,9,1.028,1.016,7,4,35,15,53,"South German-Style Weizenbock/Weissbock",1.08,1.066,19.5,16,German,30,5,2013
5.5,4.9,4.4,3.9,Ale,"Bamberg-style Weiss Rauchbier color is pale to chestnut brown. These beers are made with at least 50 percent malted wheat. Darker (dunkel) styles should have a detectable degree of roast malt in the balance without being robust in overall character. They should have smoky malt character that ranges from low to high in the aroma and flavor. Smoke character is not harshly phenolic, but rather very smooth, almost rendering a perception of mild sweetness to this style of beer. Hop bitterness is low. Hop flavor and aroma are absent. The aroma and flavor of a Weissbier with yeast is decidedly fruity and phenolic. The phenolic characteristics are often described as clove- or nutmeg-like and can be smoky or even vanilla-like. Banana-like esters are often present. Weissbier is well attenuated and very highly carbonated and a medium- to full-bodied beer. Because yeast is present, the beer will have yeast flavor and a characteristically fuller mouthfeel and may be appropriately very cloudy. No diacetyl should be perceived.",36,8,1.016,1.008,4,2,15,10,54,"Bamberg-Style Weiss (Smoke) Rauchbier (Dunkel or Helles)",1.056,1.047,14,11.8,German,18,4,2013
5.5,4.3,4.4,3.6,Ale,"Copper to dark brown in color. A variety of malts, including wheat, may be used.to produce a medium-low to medium level malty flavor and aroma. Hop bitterness may be medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Du?sseldorf). Hop flavor and aroma may be low to medium. It has a medium body. The overall impression is clean, crisp, and flavorful often with a dry finish. Fruity esters can be low. No diacetyl or chill haze should be perceived.",39,22,1.014,1.008,3.5,2,52,25,55,"German-Style Brown Ale/Du?sseldorf-Style Altbier",1.052,1.044,13,11,German,19,11,2013
0,0,0,0,Ale,"Color varies with style. They will most likely not be clear, and may appear slightly hazy to moderately cloudy. Malt character will vary with style (see individual style description). Depending on style op characters may be suppressed because of the presence of yeast. These beers are unfiltered German-style Altbier and KÃ¶lsch. They are packaged and/or served intentionally with low to moderate amounts of yeast. Products may be filtered and again dosed with yeast in the package, manifesting themselves as bottle conditioned beers or unfiltered beer with yeast present. Yeast character, flavor and aroma are desirable, yet should be low to medium but not overpowering the balance and character of malt and hops. Low to moderately low levels of yeast-generated sulfur containing compounds should be apparent in aroma and flavor, and low levels of acetaldehyde or other volatiles normally removed during fermentation may or may not be apparent. The sulfur and acetaldehyde characters should contribute positively to the beer drinking experience. Head retention may not be optimal. The brewer must indicate the classic style on which the entry is based to allow for accurate judging. Beer entries not accompanied by this information will be at a disadvantage during evaluation.
",0,0,0,0,0,0,0,0,56,"Kellerbier (Cellar beer) or Zwickelbier â€“ Ale",0,0,0,0,German,0,0,2013
11,9,8.7,7.1,Ale,"Adambier is light brown to very dark in color. It may or may not use wheat in its formulation. Original styles of this beer may have a low or medium low degree of smokiness. Smoke character may be absent in contemporary versions of this beer. Astringency of highly roasted malt should be absent. Toast and caramel-like malt characters may be evident. Low to medium hop bitterness are perceived. Low hop flavor and aroma are perceived. It is originally a style from Dortmund. Adambier is a strong, dark, hoppy, sour ale extensively aged in wood barrels. Extensive aging and the acidification of this beer can mask malt and hop character to varying degrees. Traditional and non-hybrid varieties of European hops were traditionally used. A Ko?lsch-like ale fermentation is typical Aging in barrels may contribute some level of Brettanomyces and lactic character. The end result is a medium to full bodied complex beer in hop, malt, Brett and acidic balance.",26,10,1.02,1.01,5,2.5,50,30,57,Adambier,1.09,1.07,21.6,17.1,German,35,15,2013
6.5,4.8,5.2,3.8,Ale,"Belgian-style Flanders oud bruin ale is copper to very dark ale in color. Chill haze is acceptable at low serving temperatures. They have a cocoa-like character from roast malt. Roasted malt character in aroma and flavor is acceptable at low levels. A very low degree of malt sweetness may be present and in balance with the acidity produced by Lactobacillus activity. Flanders brown ales are perceived to have a low to medium hop bitterness though acidity and wood aging (if used) may mask higher bitterness unit level. Its overall balance is characterized by a slight to strong lactic sourness, and with â€œRedsâ€ sometimes a balanced degree of acetic acid. Brettanomyces produced flavors and aromas may be completely absent or at very low levels. A fruity-estery character which is often cherry-like is apparent with no hop flavor or aroma. Oak-like or woody characters may be pleasantly integratedinto overall palate. Mouthfeel should be refreshing. Some versions may be more highly carbonated and, when bottle conditioned, may appear cloudy (yeast) when served. These final beers are often blended old with new before packaging in order to create the brewerâ€™s intended balance of characters. Beers with infused fruit character should be entered into other fruit beer categories.",50,24,1.016,1.008,4,2,35,15,58,"Belgian-Style Flanders Oud Bruin or Oud Red Ales",1.056,1.044,14,11,Belgian/French,25,12,2013
7.5,6.25,6,5,Ale,"Belgian-style dubbel ranges from brown to very dark in color. Chill haze is acceptable at low serving temperatures. They have a malty sweetness and chocolate-like caramel aroma. Hop bitterness is medium-low to medium. A low hop flavor and/or aroma is acceptable. Diacetyl should not be perceived. Yeast-generated fruity esters (especially banana) are appropriate at low levels. Head retention is dense and mousse-like. Often bottle conditioned a slight yeast haze and flavor may be evident.",72,32,1.016,1.012,4,3,30,20,59,"Belgian-Style Dubbel",1.075,1.06,18.2,14.7,Belgian/French,36,16,2013
10,7,8,5.6,Ale,"Belgian-style tripel ranges from pale to medium-amber in color. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Brewing sugar may be used to lighten the perception of body. Low sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Hop/malt balance is equalizing. The overall beer flavor may finish sweet, though any sweet finish should be light. Hop bitterness is perceived as medium to medium-high. Low hop flavor and aroma is acceptable. Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at very low levels. Yeast- generated fruity esters including banana are also common but not necessary. Traditional Belgian-style tripels are often well attenuated. Alcohol strength and flavor should be perceived as evident. The beer is characteristically medium body. Oxidative character if evident in aged tripels should be mild and pleasant.",18,8,1.018,1.008,4.5,2,45,20,60,"Belgian-Style Tripel",1.092,1.07,22,17,Belgian/French,9,4,2013
14,9,11.2,7.2,Ale,"Belgian-style quadrupel is amber to dark brown in color. Chill haze is acceptable at low serving temperatures. A mousse-like dense, sometimes amber head will top off a properly poured and served quad. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Hop characters do not dominate; low to low-medium bitterness is perceived. None to very low hop flavor and aroma may be present. Quadrupels or â€œquadsâ€ are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Though well attenuated it usually has a full, creamy body. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.
",40,16,1.02,1.014,5,3.5,50,25,61,"Belgian-Style Quadrupel",1.12,1.084,28,20.2,Belgian/French,20,8,2013
7.8,6,6.2,5,Ale,"Belgian-style blonde ale is pale to light amber in color. Chill haze is allowable at cold temperatures. Malt aroma and flavor is low. Sugar in the fermentation may be used to lighten perceived body. Belgian-style blond ales are characterized by very low to low hop bitterness, flavor, and sometimes aroma. Overall impression is a light sweet, spiced and a low to medium fruity- ester beer orchestrated whose flavor and aroma are balanced. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Body is light to medium. Diacetyl should not be perceived. Acidic character should not be present.",14,8,1.014,1.008,3.5,2,30,15,62,"Belgian-Style Blonde Ale",1.068,1.054,1638,13.5,Belgian/French,7,4,2013
6,4,5,3.2,Ale,"Belgian-style pale ale is gold to copper in color. Chill haze is allowable at cold temperatures. Malt aroma is low. Low caramel or toasted malt flavor is okay. Belgian-style pale ales are characterized by low but noticeable hop bitterness, flavor, and aroma. Noble-type hops are commonly used. Low to medium fruity esters are evident in aroma and flavor. Low levels of phenolic spiciness from yeast byproducts may be perceived. They have a light to medium body. Diacetyl should not be perceived.",24,12,1.014,1.008,3.5,2,30,20,63,"Belgian-Style Pale Ale",1.054,1.044,13.5,11,Belgian/French,12,6,2013
11,7,8.8,5.6,Ale,"Belgian-style pale strong ales are pale to copper in color. Chill haze is allowable at cold temperatures. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception ofhop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic characterâ€” being light to medium bodied rather than full bodied. Very little or no diacetyl is perceived. It has a relatively light body for a beer of its alcoholic strength. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived.",20,7,1.024,1.012,6,3,50,20,64,"Belgian-Style Pale Strong Ale",1.096,1.064,23,16,Belgian/French,10,4,2013
11,7,8.8,5.6,Ale,"Belgian-style dark strong ales are medium-amber to very dark in color. Chill haze is allowable at cold temperatures. The intensity of malt character can be rich, creamy, and sweet with intensities ranging from medium to high. Fruity complexity along with the soft flavors of roasted malts add distinct character. Often, though not always, brewed with dark Belgian ""candy"" sugar, these beers can be well attenuated, ranging from medium to full-bodied. The perception of hop bitterness is low to medium, with hop flavor and aroma also in this range. The alcohol strength of these beers can often be deceiving to the senses. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived.",70,18,1.024,1.012,6,3,50,20,65,"Belgian-Style Dark Strong Ale",1.096,1.064,23,16,Belgian/French,35,9,2013
5.2,4.8,4.4,3.8,Ale,"Belgian-style white ales are straw to pale in color. An unfiltered starch and yeast haze should be part of the appearance. They are brewed using unmalted wheat, sometimes oats and malted barley. Malt character is very low to low. Noble-type hops are traditionally used to achieve low hop bitterness and little to no apparent hop flavor. Witbiers are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. The low to medium body should have some degree of creaminess from wheat starch. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.",8,4,1.01,1.006,2.5,1.5,17,10,66,"Belgian-Style White (or Wit)/Belgian-Style Wheat",1.05,1.044,12.5,11,Belgian/French,4,2,2013
8.1,6.2,6.5,5,Ale,"Belgian-style lambics are gold to medium-amber in color. Cloudiness is acceptable. Lambic is brewed with unmalted wheat and malted barley. Sweet malt characters are not perceived. They are very low in hop bitterness. Stale and aged hops are used at low rates, yielding no or very low hop aroma. Hop aroma can include cheesy or floral lavendar-like character. These are unblended, naturally and spontaneously fermented beers with high to very high levels of esters, bacterial and yeast derived sourness, that sometimes but not necessarily includes acetic flavors. Carbonation can range from low to high. These beers are quite dry and light bodied. Characteristic horsey, goaty, leathery and phenolic character evolved from Brettanomyces yeast is often present at moderate levels. Lambics originating in the Brussels area are often simply called lambic. Versions of this beer made outside of the Brussels area of Belgium cannot be called true lambics. These versions are said to be ""Belgian-style lambic"" and may be made to resemble many of the beers of true origin. Vanillin and other wood-derived flavors should not be evident.Historically, traditional lambic is dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar or artificial sweeteners. Sweet versions may be created through addition of sugars or artificial sweeteners. Competition organizers may choose to subcategorize this style into A) Traditional and B) Sweet. Artificial sweeteners are sometimes used in some brands.",26,12,1.01,1,2.5,0,23,9,67,"Belgian-Style Lambic",1.056,1.047,14,11.8,Belgian/French,13,6,2013
8.6,6.8,7,5.5,Ale,"Old lambic is blended with newly fermenting young lambic to create this special style of lambic. Gueuze is always refermented in the bottle. These beers are gold to medium-amber in color. Cloudiness is acceptable. Sweet malt characters are not perceived. These pale beers are brewed with unmalted wheat, malted barley, and stale, aged hops. They are very low in hop bitterness These unflavored blended and secondary fermented lambic beers may be very dry or mildly sweet and are characterized by intense fruity- estery, sour, and acidic aromas and flavors. Diacetyl should be absent. Characteristic horsey, goaty, leathery and phenolic character evolved from Brettanomyces yeast is often present at moderate levels. These beers are quite dry and light bodied. Vanillin and other wood-derived flavors should not be evident. Gueuze lambics whose origin is the Brussels area are often simply called gueuze lambic. Versions of this beer made outside of the Brussels area of Belgium are said to be ""Belgian-style gueuze lambic."" The Belgian-style versions are made to resemble many of the beers of true origin.Historically, traditional gueuze lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar or artificial sweeteners. Some versions often have a degree of sweetness, contributed by sugars or artificial sweeteners. Competition organizers may choose to subcategorize this style into A) Traditional and B) Sweet. Artificial sweeteners are sometimes used in some brands.",26,12,1.01,1,2.5,0,23,11,68,"Belgian-Style Gueuze Lambic",1.056,1.044,14,11,Belgian/French,13,6,2013
8.6,5.6,7,4.5,Ale,"These beers, also known by the names framboise, kriek, peche, cassis, etc., are characterized by fruit flavors and aromas. The color reflects the choice of fruit. Malt sweetness is absent, but sweetness of fruit may be low to high. Perceived hop bitterness is very low. Sourness is an important part of the flavor profile, though sweetness may compromise the intensity. These flavored lambic beers may be very dry or mildly sweet and range from a dry to a full-bodied mouthfeel. Characteristic horsey, goaty, leathery and phenolic character evolved from Brettanomyces yeast is often present at moderate levels. Vanillin and other woody flavors should not be evident. Versions of this beer made outside of the Brussels area of Belgium cannot be true lambics. These versions are said to be ""lambic-style"" and may be made to resemble many of the beers of true origin.Historically, traditional lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, fruit or artificial sweeteners. Some versions often have a degree of sweetness, contributed by fruit sugars, other sugars or artificial sweeteners. Competition organizers may choose to subcategorize this style into A) Traditional and B) Sweet ? Artificial sweeteners are sometimes used in some brands.",0,0,1.016,1.008,4,2,21,15,69,"Belgian-Style Fruit Lambic",1.072,1.04,17.5,10,Belgian/French,0,0,2013
3.5,0.5,2.8,0.4,Ale,"These ales and lagers are very low in alcohol and historically in Belgium enjoyed with meals by both adults and children. Belgian- style table beers range from gold to black in color. Additions of caramel coloring are sometimes employed to adjust color. Malted barley, wheat and rye may be used as well as unmalted wheat, rye, oats and corn. A mild malt character could be evident. Aroma and flavor hops are most commonly used to employ a flavor balance that is only low in bitterness. Traditional versions do not use artificial sweeteners nor are they excessively sweet. More modern versions of this beer can incorporate sweeteners such as sugar and saccharine added post fermentation to sweeten the palate and add to a perception of smoothness. They are light bodied with relatively low carbonation with limited aftertaste. The mouth feel is light to moderate, though higher than one might anticipate, usually because of unfermented sugars/malt sugars. Spices (such as orange and lemon peel, as well as coriander) may be added in barely perceptible amounts, but this is not common. Diacetyl should not be perceived. Competition directors may choose to break out subcategories of Traditional and Modern.",100,10,1.034,1.004,8.5,1,15,5,70,"Belgian-Style Table Beer",1.038,1.008,9.5,2,Belgian/French,50,5,2013
0,0,0,0,Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",0,0,0,0,0,0,0,0,71,"Other Belgian-Style Ales",0,0,0,0,Belgian/French,0,0,2013
8,4.5,6.3,3.5,Ale,"Beers in this category are light amber to chestnut brown/red in color. This style of beer is characterized by a toasted malt aroma and slight malt sweetness in flavor. They are light to medium in body. Hop bitterness is low to medium. Noble-type hop aromas and flavors should be low to medium. Fruity esters can be light to medium in intensity. Flavor of alcohol is evident. Earthy, cellar- like, musty aromas are okay. Diacetyl should not be perceived but chill haze is okay. Often bottle conditioned with some yeast character. French-Style Bie?re de Garde may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",32,14,1.024,1.012,6,3,30,20,72,"French-Style Bie?re de Garde",1.08,1.06,19.5,15,Belgian/French,16,7,2013
8.5,4.5,6.6,3.5,Ale,"There may be quite a variety of characters within this style. Beers in this category are pale to deep light brown in color. Chill or slight yeast haze is okay. Generally these are light to medium in body. Malt aroma is low to medium-low. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is medium to medium-high. Hop aroma and flavor may be at low to medium levels. Esters are medium to high in aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-style saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like. Specialty ingredients (spices, herbs, flowers, fruits, vegetables, fermentable sugars and carbohydrates, special yeasts of all types, wood aging, etc.) may contribute unique and signature character. These types of Saisons can be their own categories or subcategories of the main style; color, body, malt character, esters, alcohol level, hop character should be in harmony with the general style description.
",28,8,1.016,1.004,4,1,40,20,73,"French & Belgian-Style Saison",1.08,1.055,19.5,14,Belgian/French,14,4,2013
3.6,2.6,2.9,2.1,Ale,"Grodzisz (also Grodziskie, and often referred to as Gra?tzer since WWII) is a Polish style of straw to golden colored ale. Chill haze is allowable at cold temperatures. The distinctive character comes from 100% oak wood smoked wheat malt. The overall balance is a sessionably medium to medium-high assertively oak- smoky malt emphasized beer. Aroma is dominated by oak smoke notes. They have a medium low to medium perceived clean hop bitterness. European noble hop flavor notes are very low to low, and low ester may also be present. Body is low to medium low. A Ko?lsch-like ale fermentation and aging process lends a crisp overall flavor impression and low degree of ester fruitiness. Sourness, diacetyl, and sweet corn-like DMS (dimethylsulfide) should not be perceived. Historic versions were most often bottle conditioned to relatively high carbonation levels.",12,6,1.01,1.006,2.5,1.5,25,15,74,Grodzisz,1.036,1.028,9,7,Other,6,3,2013
